
Major Traits:
---------------
Nimble               - faster balance
Quick-witted         - faster eq
Lucky                - +crit chance
Aim to kill          - +crit dmg
Improved physique    - +str
Brilliance           - +int
Agile                - +dex
Robust               - +con
Receptive body       - +healing elixirs
Receptive mind       - +mana elixirs
Light stepper        - +dodge
Hated                - +5 enemy list
In crowd             - +5 ally list
Expert Diagnoser     - weak diag others, slower tree
Lethal Ink           - faster bal: hammer, web, tent, braz
                       slower bal: shield, cloak, tree
Sawbones             - examine limb health of others
Limbcrusher          - +trample
Health Inspector     - removes eq cost on assess
Mind Warden          - removes eq cost for contemplation
Cheap shot           - +bleeding when you parry
Sticky Stirrups      - harder to get forced off mount



Minor Traits
--------------
Master angler        - 
Master enchanter     - 
Master gatherer      - 
Master harvester     - 
Master extractor     - 
Life of the party    - 
Seasoned drinker     - 
Soothsayer           - 
Devout               - 
Truth seeker         - 
Green tender         - 
Eclectic             - 
Master contemplator  - 
Fully fit            - 
Easy rider           - 
Blissful ignorance   - 
Wild walker          - 
Improved metabolism  - 
Marksman             - 
Master crafter       - 
Unsocial             - 
Clean freak          - 
Humble               - 
Spice merchant       - 
Barter               - 
Decorated            - 
Pack rat             - 
Silver tongued       - 
Marketeer            - 
In service           - 
Beloved              - 
Super diver          - 
Airborne             - 
Harpooner            - 
Admiral              - 
Salty                - 
Death's boon         - 
Glass shatterer      - 
Knife thrower        - 
Meticulous Care      - 
Island Trader        - 
Traveller            - 
Braggart             - 
Bottom of the Barrel - 
